residuals = [-5.5753 ; 22.8833, -160.183, 868.342, 0, 2.38555, 0.440064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.18447, 0, 1, -30.7015, -4.96084, 236.531, -135.719, -0.801589]
residuals = [-8.74964 ; -59.2435, 473.948, -124.049, 2.38555, 0, -1.1393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.477582, 0, 1, 0, 128.937, 33.7961, -181.486, 739.833, 8.85845]
residuals = [-4.38646 ; 22.8833, -183.067, 992.391, 0, 2.38555, 0.440064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.18447, 0, 1, -49.8029, -13.0541, 340.078, -181.486, -3.42165]
residuals = [-0.80294 ; 120.552, 0, -248.098, 2.38555, 0, 1.15915, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.485904, 0, 1, 0, -120.217, -28.8764, 64.0962, 733.779, -6.93619]
residuals = [-4.9107 ; 15.8868, 0, 0, 0, 2.38555, 0.152758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0640346, 0, 1, -15.8427, -3.80547, 255.856, 64.0962, -0.914084]
residuals = [0.0398892 ; 90.6717, -45.3359, -248.098, 2.38555, 0, 0.871843, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.365468, 0, 1, 0, -51.8223, -7.13423, 48.2094, 416.945, -0.982149]
residuals = [-5.9077 ; 15.8868, -7.94342, 124.049, 0, 2.38555, 0.152758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0640346, 0, 1, -9.07993, -1.25001, 150.244, 48.2094, -0.172085]
residuals = [0.658719 ; 60.7919, -60.7919, -248.098, 2.38555, 0, 0.584537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.245032, 0, 1, 0, -16.1881, -1.03833, 32.3225, 189.749, -0.0665994]
residuals = [-4.59459 ; 15.8868, -15.8868, 248.098, 0, 2.38555, 0.152758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0640346, 0, 1, -4.23047, -0.271347, 74.5123, 32.3225, -0.0174045]
residuals = [0.612144 ; 30.9121, -46.3681, -248.098, 2.38555, 0, 0.297231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.124596, 0, 1, 0, -2.51852, -0.0494251, 16.4357, 52.1934, -0.000969951]
